path,phase,iteration,http_status,reason_code,confidence,expected_outcome,pipeline_ms,client_ms,ingestion_ms,eo_gates_ms,routing_ms,inference_ms,verification_ms,step_count,trace_id,trace_created_at
change,measured,3,200,,0.9522647214737191,True,450.033,570.943,3.047,0.023,0.049,445.735,0.201,17,d56f44e7-fed9-4a5e-8c95-5c545f7960a1,2026-09-23T17:28:31.975822Z
change,measured,4,200,,0.9522647214737191,True,424.127,541.407,5.614,0.09,0.094,416.9,0.148,17,7529b437-b153-4f49-8d60-5f5af70dba2f,2026-09-23T17:28:32.551157Z
change,measured,5,200,,0.9522647214737191,True,415.315,567.264,3.503,0.02,0.051,410.062,0.135,17,b5bf6e86-cc91-430d-a3f4-51e49269d0bb,2026-09-23T17:28:33.092163Z
change,measured,6,200,,0.9522647214737191,True,555.863,683.295,2.782,0.017,0.05,552.027,0.105,17,08e4267b-462a-498e-bd3b-8543fa7ae625,2026-09-23T17:28:33.661610Z
change,measured,7,200,,0.9522647214737191,True,366.182,575.629,3.147,0.015,0.047,361.819,0.106,17,1836dc17-4d0a-418b-9fda-6c72810ae72c,2026-09-23T17:28:34.345080Z
change,measured,8,200,,0.9522647214737191,True,340.297,604.438,2.903,0.018,0.048,336.299,0.106,17,07b9ded1-3cfa-42e7-b053-3188baa6a382,2026-09-23T17:28:34.925075Z
change,measured,9,200,,0.9522647214737191,True,344.88,448.071,2.941,0.021,0.049,340.81,0.106,17,d420e8a0-3965-4897-b34c-121bef341223,2026-09-23T17:28:35.532134Z
change,measured,10,200,,0.9522647214737191,True,330.766,445.245,3.058,0.017,0.051,326.645,0.113,17,060eb769-1d69-4690-8855-6e33fdba1e61,2026-09-23T17:28:35.981877Z
change,measured,11,200,,0.9522647214737191,True,355.419,483.048,3.169,0.03,0.06,351.252,0.104,17,d023c7bf-af21-4625-968d-c735ecd4fbdb,2026-09-23T17:28:36.428968Z
change,measured,12,200,,0.9522647214737191,True,360.18,513.263,2.742,0.014,0.042,356.201,0.171,17,cae9782d-1425-41df-94f6-593685c40cd7,2026-09-23T17:28:36.913252Z
change,measured,13,200,,0.9522647214737191,True,368.146,528.115,8.859,0.168,0.121,357.625,0.163,17,85b42f9a-e1a8-4e94-a54b-8582132bf9ae,2026-09-23T17:28:37.437432Z
change,measured,14,200,,0.9522647214737191,True,351.636,462.966,5.514,0.021,0.082,345.067,0.106,17,80418eeb-0574-4c03-8a03-3540ac5030f4,2026-09-23T17:28:37.966736Z
change,measured,15,200,,0.9522647214737191,True,317.942,423.42,3.256,0.018,0.051,313.639,0.106,17,e36043bd-5d9a-47df-86dc-f3e1cb459c81,2026-09-23T17:28:38.425580Z
change,measured,16,200,,0.9522647214737191,True,337.108,459.479,2.792,0.017,0.044,333.293,0.116,17,7ef77bbc-6a8f-48f6-997b-2d29f223d3f6,2026-09-23T17:28:38.850428Z
change,measured,17,200,,0.9522647214737191,True,381.016,494.752,4.117,0.02,0.048,375.857,0.107,17,e8f339a6-ad22-452f-8587-e1721c921352,2026-09-23T17:28:39.315824Z
change,measured,18,200,,0.9522647214737191,True,366.783,479.322,3.903,0.024,0.06,361.737,0.108,17,02d5bc53-192c-4d85-bc98-421ef06dddbd,2026-09-23T17:28:39.810156Z
change,measured,19,200,,0.9522647214737191,True,352.929,465.038,3.781,0.017,0.053,348.067,0.1,17,77b7f1c8-0ca9-404f-9a01-7c074e324789,2026-09-23T17:28:40.293210Z
change,measured,20,200,,0.9522647214737191,True,402.478,515.763,4.411,0.021,0.056,397.029,0.112,17,1a5a0dad-5dd6-448e-9a16-aaacaa488636,2026-09-23T17:28:40.758212Z
veto,warmup,1,422,EO_CRS_MISMATCH,,True,83.019,89.917,68.262,14.614,,,,10,e5514eb6-b604-481a-80e9-ed2060157d9a,2026-09-23T17:28:41.276357Z
veto,warmup,2,422,EO_CRS_MISMATCH,,True,25.104,31.249,24.565,0.425,,,,10,726820d3-f4b0-42d3-b51a-e763b7223b11,2026-09-23T17:28:41.365902Z
veto,warmup,3,422,EO_CRS_MISMATCH,,True,33.311,41.419,32.842,0.351,,,,10,ea202a7d-420b-4101-a1c8-d3bedeb0d31e,2026-09-23T17:28:41.399413Z
veto,measured,1,422,EO_CRS_MISMATCH,,True,28.763,35.757,28.193,0.362,,,,10,254d0dca-3153-472b-bbb3-847b285b52a1,2026-09-23T17:28:41.439989Z
veto,measured,2,422,EO_CRS_MISMATCH,,True,26.654,34.289,25.373,1.042,,,,10,f2297eca-dd37-4a24-93e4-e639fe68f051,2026-09-23T17:28:41.476417Z
veto,measured,3,422,EO_CRS_MISMATCH,,True,24.206,31.081,23.845,0.259,,,,10,b478c91e-229a-4286-b801-578e74a50095,2026-09-23T17:28:41.509928Z
veto,measured,4,422,EO_CRS_MISMATCH,,True,31.655,39.376,30.794,0.677,,,,10,982e882f-aaa3-471e-8320-dde1ba97cf2c,2026-09-23T17:28:41.541852Z
veto,measured,5,422,EO_CRS_MISMATCH,,True,43.704,56.152,42.263,1.055,,,,10,0a2abd43-a4aa-4259-bbcb-a24112ef165e,2026-09-23T17:28:41.584512Z
veto,measured,6,422,EO_CRS_MISMATCH,,True,55.458,71.212,54.455,0.792,,,,10,5c3a98c6-73ab-4d6d-88bb-f66140da829b,2026-09-23T17:28:41.646016Z
veto,measured,7,422,EO_CRS_MISMATCH,,True,40.459,49.046,40.045,0.287,,,,10,fa6a0773-887b-4c94-9df0-07f3e739c58e,2026-09-23T17:28:41.710444Z
veto,measured,8,422,EO_CRS_MISMATCH,,True,49.012,61.309,48.549,0.321,,,,10,a5e7dccf-473b-4588-8d8e-8802c9e0489a,2026-09-23T17:28:41.763267Z
veto,measured,9,422,EO_CRS_MISMATCH,,True,44.428,54.02,43.551,0.655,,,,10,b75f4613-18d8-470e-8d68-4c26ebdf8f75,2026-09-23T17:28:41.821553Z
veto,measured,10,422,EO_CRS_MISMATCH,,True,35.274,45.026,34.644,0.491,,,,10,ddc821ed-869d-4f66-8617-a7728dcc2655,2026-09-23T17:28:41.876186Z
veto,measured,11,422,EO_CRS_MISMATCH,,True,28.165,34.306,27.724,0.321,,,,10,1afcf57d-3494-4d33-862d-0025ff3e1503,2026-09-23T17:28:41.917893Z
veto,measured,12,422,EO_CRS_MISMATCH,,True,25.331,32.175,24.905,0.31,,,,10,21f6f06c-1b0b-4b89-99a5-80f9b8a9c1b5,2026-09-23T17:28:41.953082Z
veto,measured,13,422,EO_CRS_MISMATCH,,True,34.138,40.928,33.544,0.357,,,,10,977d9ac8-d5fe-41ff-a7e5-24abe47ba671,2026-09-23T17:28:41.985445Z
veto,measured,14,422,EO_CRS_MISMATCH,,True,23.095,29.464,22.73,0.268,,,,10,dc82f546-fb84-4db4-a8f6-067b9e7bd109,2026-09-23T17:28:42.025915Z
veto,measured,15,422,EO_CRS_MISMATCH,,True,22.841,28.719,22.483,0.266,,,,10,762bb976-b7c9-43f0-8dcd-ab4a1df2e7fa,2026-09-23T17:28:42.055139Z
veto,measured,16,422,EO_CRS_MISMATCH,,True,22.351,28.504,21.982,0.269,,,,10,d99b2c46-4e8c-4642-97fe-09a61ae2ad6a,2026-09-23T17:28:42.084289Z
veto,measured,17,422,EO_CRS_MISMATCH,,True,26.102,31.845,25.741,0.269,,,,10,292eb93d-08d9-43ac-95df-257cc69d87d5,2026-09-23T17:28:42.112670Z
veto,measured,18,422,EO_CRS_MISMATCH,,True,25.032,31.88,24.647,0.275,,,,10,c2567d0a-3a41-405c-8efe-0f600204d2be,2026-09-23T17:28:42.145586Z
veto,measured,19,422,EO_CRS_MISMATCH,,True,22.845,29.525,22.48,0.269,,,,10,cad5554f-e7bf-4be5-9b13-03376d3cec01,2026-09-23T17:28:42.177452Z
veto,measured,20,422,EO_CRS_MISMATCH,,True,22.658,28.354,22.235,0.288,,,,10,d7698f3c-abc5-40bf-ad12-6efe0bcdc354,2026-09-23T17:28:42.206289Z
